Price,Min_Price,Brand,Model,Year of Manufacture,Kilometer Driven,Địa điểm,Thời gian đăng
8.300.000 đ,13 triệu,Honda,Citi,2003,80000,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 3 ngày trước
10.800.000 đ,9 triệu,Yamaha,Nozza,2014,20950,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
10.800.000 đ,7 triệu,Honda,Lead,2012,51000,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 14 ngày trước
26.000.000 đ,20 triệu,Honda,Air Blade,2016,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 24 ngày trước
30.500.000 đ,30 triệu,Honda,Air Blade,2020,8700,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
17.000.000 đ,12 triệu,Yamaha,Janus,2017,25600,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
26.500.000 đ,21 triệu,Honda,Vision,2020,6868,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
45.500.000 đ,40 triệu,Piaggio,Sprint,2019,10000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",NaN
21.800.000 đ,15 triệu,Yamaha,Grande,2016,16000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
13.800.000 đ,12 triệu,Honda,Air Blade,2010,12345,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
16.500.000 đ,17 triệu,Piaggio,Vespa,2014,17000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 17 ngày trước
2.800.000 đ,4 triệu,SYM,Attila,2013,36498,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
45.000.000 đ,45 triệu,Honda,SH,2016,18000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
29.500.000 đ,27 triệu,Suzuki,GSX,2021,16000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
18.500.000 đ,Price not available,Honda,Dylan,2012,999,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",NaN
26.500.000 đ,20 triệu,Honda,Vision,2019,12345,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",NaN
46.800.000 đ,40 triệu,Piaggio,Vespa,2019,15000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
19.500.000 đ,16 triệu,Honda,Air Blade,2015,12345,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 16 ngày trước
3.500.000 đ,7 triệu,Kymco,Candy Hi,2014,12345,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 3 ngày trước
18.500.000 đ,16 triệu,GPX,Demon 150GN,2019,17007,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",NaN
6.500.000 đ,4 triệu,Honda,Dream,2009,9999,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",NaN
33.500.000 đ,30 triệu,Yamaha,R,2020,13000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
9.800 đ,6 triệu,Yamaha,Sirius,2012,12345,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
47.800.000 đ,37 triệu,Honda,SH,2014,12345,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 19 ngày trước
20.000.000 đ,19 triệu,Honda,CBR,2013,17000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 3 ngày trước
20.500.000 đ,15 triệu,Yamaha,Grande,2016,17000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 10 ngày trước
3.500.000 đ,6 triệu,Honda,Dream,2002,30000,"Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 3 ngày trước
33.500.000 đ,31 triệu,Yamaha,R,2021,15000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 10 ngày trước
6.500.000 đ,6 triệu,Yamaha,Nouvo,2013,55000,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
31.000.000 đ,27 triệu,Honda,SH Mode,2014,14000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",NaN
14.500.000 đ,12 triệu,Honda,Future,2014,14000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
12.800.000 đ,7 triệu,Yamaha,Sirius,2014,44300,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 20 ngày trước
10.500.000 đ,7 triệu,Honda,Lead,2012,15000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",NaN
20.500.000 đ,21 triệu,Honda,Future,2019,12000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
41.800.000 đ,37 triệu,Honda,Air Blade,2024,4100,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 14 ngày trước
68.000 đ,80 triệu,Honda,SH,2023,18000,"Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Đăng 10 ngày trước
11.500.000 đ,7 triệu,Yamaha,Jupiter,2014,15000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",NaN
52.800.000 đ,51 triệu,Piaggio,GTS,2019,15000,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",NaN
15.500.000 đ,13 triệu,Yamaha,Janus,2018,12000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
4.300.000 đ,4 triệu,Yamaha,Taurus,2011,2121,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",NaN
26.800.000 đ,20 triệu,Honda,Air Blade,2017,20000,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 11 ngày trước
12.800.000 đ,11 triệu,Honda,Blade,2021,20000,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 7 ngày trước
5.200.000 đ,4 triệu,SYM,Elizabeth,2013,45000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 9 ngày trước
21.500.000 đ,15 triệu,Yamaha,Exciter,2011,12345,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
18.800.000 đ,15 triệu,Honda,Air Blade,2014,20000,"Phường Bình Thuận, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
79.000.000 đ,77 triệu,Honda,SH,2024,2000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
67.000.000 đ,57 triệu,Honda,SH,2018,22000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
23.456 đ,8 triệu,Honda,Wave,2015,1234,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 3 ngày trước
27.500.000 đ,24 triệu,GPX,Legend 200,2020,13000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
52.000.000 đ,Price not available,Honda,Rebel,2010,18,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
35.500.000 đ,26 triệu,Honda,Vision,2022,14000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
54.500.000 đ,37 triệu,Honda,Air Blade,2024,3000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
14.800.000 đ,12 triệu,Honda,Air Blade,2010,123455,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
5.200.000 đ,4 triệu,Hãng khác,Dòng khác,2011,10000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",NaN
14.500.000 đ,12 triệu,Honda,Future,2014,12,"Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
17.500.000 đ,14 triệu,Yamaha,Exciter,2012,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
14.800.000 đ,11 triệu,Hãng khác,Dòng khác,2023,5,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
12.000.000 đ,7 triệu,Yamaha,Sirius,2013,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
19.500.000 đ,20 triệu,Honda,Air Blade,2016,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 17 ngày trước
23.500.000 đ,4 triệu,Honda,Dream,2009,18,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
58.000.000 đ,57 triệu,Honda,SH,2018,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
34.500.000 đ,30 triệu,Honda,Air Blade,2020,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
60.000.000 đ,57 triệu,Honda,SH,2018,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
64.000.000 đ,26 triệu,Yamaha,Dòng khác,2019,280000,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
76.000.000 đ,62 triệu,Honda,SH,2019,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
19.500.000 đ,15 triệu,Honda,Air Blade,2014,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
36.500.000 đ,28 triệu,Honda,Vision,2023,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
35.500.000 đ,30 triệu,Honda,Vision,2024,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
36.500.000 đ,32 triệu,Honda,Air Blade,2021,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
33.500.000 đ,30 triệu,Honda,Air Blade,2020,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
37.000.000 đ,36 triệu,Honda,Air Blade,2023,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
20.500.000 đ,15 triệu,Honda,Air Blade,2014,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
26.500.000 đ,20 triệu,Honda,Air Blade,2016,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
39.900.000 đ,36 triệu,Honda,Vario,2023,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
24.000.000 đ,20 triệu,Honda,Air Blade,2017,60,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
72.500.000 đ,77 triệu,Honda,SH,2024,500,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
39.500.000 đ,32 triệu,Honda,Vario,2021,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
62.000.000 đ,57 triệu,Honda,SH,2018,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
48.500.000 đ,31 triệu,Honda,Air Blade,2022,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
45.000.000 đ,45 triệu,Honda,SH,2016,1000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
28.500.000 đ,21 triệu,Suzuki,Raider,2020,14000,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
33.000.000 đ,11 triệu,Honda,Blade,2021,7000,"Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 3 ngày trước
12.000.000 đ,9 triệu,Honda,Air Blade,2012,25000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 3 ngày trước
7.500.000 đ,11 triệu,Honda,Wave,2005,55,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 3 ngày trước
29.500.000 đ,22 triệu,Honda,Air Blade,2018,1,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 3 ngày trước
8.600.000 đ,8 triệu,Piaggio,Liberty,2014,12345,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
24.500.000 đ,20 triệu,Yamaha,Exciter,2019,1,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 3 ngày trước
68.500.000 đ,73 triệu,Honda,SH,2022,1,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 3 ngày trước
4.300.000 đ,5 triệu,Yamaha,Luvias,2011,55,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 3 ngày trước
27.500.000 đ,20 triệu,Honda,Vision,2019,12000,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 18 ngày trước
11.500.000 đ,8 triệu,Yamaha,Sirius,2017,35,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 3 ngày trước
26.500.000 đ,20 triệu,Honda,Air Blade,2016,0,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 10 ngày trước
10.200.000 đ,7 triệu,Honda,Wave,2012,45,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",NaN
34.500.000 đ,33 triệu,Honda,Scoopy,2024,800,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
10.900.000 đ,6 triệu,Yamaha,Sirius,2012,54,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 15 ngày trước
11.900.000 đ,6 triệu,Yamaha,Mio,2012,12,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 19 ngày trước
30.100.000 đ,26 triệu,Yamaha,PG-1,2024,100000,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
56.000.000 đ,44 triệu,Honda,PCX,2020,11000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
25.500.000 đ,20 triệu,Honda,Air Blade,2017,12496,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 3 ngày trước
40.000.000 đ,37 triệu,Honda,SH,2014,22222,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 3 ngày trước
11.500.000 đ,10 triệu,Honda,Air Blade,2011,18000,"Phường Phước Ninh, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
7.700.000 đ,6 triệu,Honda,Wave,2011,123,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
18.500.000 đ,13 triệu,Honda,Winner,2017,3333,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 19 ngày trước
23.500.000 đ,15 triệu,Honda,Lead,2015,9,"Phường Hải Châu  I, Quận Hải Châu, Đà Nẵng",Đăng 24 ngày trước
18.500.000 đ,13 triệu,Honda,Winner,2017,3333,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",NaN
22.500.000 đ,16 triệu,Yamaha,Exciter,2018,9,"Phường Hải Châu  I, Quận Hải Châu, Đà Nẵng",NaN
43.500.000 đ,45 triệu,Honda,SH,2016,25000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 15 ngày trước
23.500.000 đ,23 triệu,Honda,Lead,2018,25000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
23.000.000 đ,19 triệu,Honda,CBR,2013,3838,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
109.000.000 đ,100 triệu,Honda,SH,2012,39000,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Đăng 3 ngày trước
32.000.000 đ,25 triệu,Honda,Future,2011,45000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
15.900.000 đ,13 triệu,Yamaha,Janus,2018,10000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 5 ngày trước
11.500.000 đ,6 triệu,Hãng khác,Dòng khác,2020,10,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 5 ngày trước
40.500.000 đ,35 triệu,Honda,SH Mode,2018,25000,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",NaN
14.500.000 đ,Price not available,Yamaha,Acruzo,2022,30000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
18.000.000 đ,15 triệu,Yamaha,Exciter,2015,25,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 3 ngày trước
21.800.000 đ,18 triệu,Honda,Vision,2018,20000,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 15 ngày trước
10.000.000 đ,10 triệu,Honda,Air Blade,2011,54760,"Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",Đăng 3 ngày trước
8.600.000 đ,6 triệu,Honda,Lead,2010,58680,"Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
6.100.000 đ,7 triệu,Hãng khác,Dòng khác,2019,36582,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
12.800.000 đ,12 triệu,Yamaha,Janus,2017,30000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 5 ngày trước
32.000.000 đ,29 triệu,Yamaha,Exciter,2022,10000,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 15 ngày trước
8.300.000 đ,9 triệu,Honda,Air Blade,2012,20000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 6 ngày trước
28.500.000 đ,24 triệu,Honda,Winner X,2023,17000,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",NaN
3.900.000 đ,3 triệu,Yamaha,Nouvo,2010,683900,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
11.500.000 đ,6 triệu,Yamaha,Sirius,2010,20000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 7 ngày trước
13.500.000 đ,8 triệu,Yamaha,Jupiter,2005,123,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Đăng 3 ngày trước
11.500.000 đ,13 triệu,Yamaha,Exciter,2013,30000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 7 ngày trước
25.500.000 đ,22 triệu,Honda,Winner X,2022,15,"Phường Hải Châu  I, Quận Hải Châu, Đà Nẵng",NaN
13.500.000 đ,9 triệu,Honda,Air Blade,2012,25000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",NaN
28.800.000 đ,22 triệu,Yamaha,Exciter,2020,9,"Phường Hải Châu  I, Quận Hải Châu, Đà Nẵng",NaN
19.500.000 đ,15 triệu,Yamaha,Grande,2016,20000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 21 ngày trước
27.000.000 đ,6 triệu,Yamaha,Sirius,2012,15000,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",NaN
17.500.000 đ,13 triệu,Honda,Winner,2017,20000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 21 ngày trước
10.500.000 đ,7 triệu,Yamaha,Sirius,2016,30000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",NaN
75.000.000 đ,69 triệu,Honda,SH,2021,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 14 ngày trước
10.900.000 đ,13 triệu,Yamaha,Exciter,2013,20000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 13 ngày trước
3.900.000 đ,5 triệu,SYM,Attila,2016,30000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
9.300.000 đ,5 triệu,Yamaha,Jupiter,2012,1000,"Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Đăng 4 ngày trước
25.000.000 đ,17 triệu,Honda,Winner X,2020,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",NaN
17.500.000 đ,16 triệu,Yamaha,Exciter,2018,25000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 13 ngày trước
8.999.999 đ,11 triệu,Honda,Wave,2003,15000,"Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Đăng 4 ngày trước
69.000.000 đ,66 triệu,Honda,SH,2020,18,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 25 ngày trước
24.500.000 đ,28 triệu,Piaggio,Sprint,2015,30000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",NaN
4.000.000 đ,12 triệu,Honda,Air Blade,2010,24000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 4 ngày trước
26.000.000 đ,20 triệu,Honda,Air Blade,2016,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 18 ngày trước
12.500.000 đ,9 triệu,Yamaha,Sirius,2020,30000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 18 ngày trước
27.000.000 đ,20 triệu,Yamaha,Janus,2023,8,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",NaN
7.900.000 đ,5 triệu,Yamaha,Mio,2007,30000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",NaN
62.000.000 đ,57 triệu,Honda,SH,2018,15000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
60.000.000 đ,54 triệu,Piaggio,Sprint,2021,10,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 11 ngày trước
17.500.000 đ,14 triệu,Yamaha,Cuxi,2011,20000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",NaN
63.500.000 đ,57 triệu,Honda,SH,2018,19000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
10.500.000 đ,11 triệu,Nioshima,Nio Fi 50cc,2022,15000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 12 ngày trước
29.800.000 đ,22 triệu,Honda,Scoopy,2020,12000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
18.000.000 đ,15 triệu,Yamaha,Exciter,2015,12342,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
20.000.000 đ,15 triệu,Honda,Air Blade,2014,25,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 4 ngày trước
38.000.000 đ,37 triệu,Honda,SH,2014,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 12 ngày trước
7.500.000 đ,7 triệu,Hãng khác,Dòng khác,2019,10000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 11 ngày trước
30.000.000 đ,22 triệu,Honda,Air Blade,2018,20,"Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",Đăng 4 ngày trước
26.000.000 đ,14 triệu,Yamaha,Exciter,2014,40000,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",NaN
28.500.000 đ,22 triệu,Honda,Air Blade,2018,14,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 20 ngày trước
10.800.000 đ,6 triệu,Yamaha,Sirius,2011,20000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 10 ngày trước
9.800.000 đ,7 triệu,Yamaha,Jupiter,2011,99,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
8.900.000 đ,9 triệu,Honda,Wave,2017,123456,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
14.000.000 đ,14 triệu,Yamaha,Exciter,2012,68123,"Phường An Khê, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
33.000.000 đ,32 triệu,Honda,Vario,2021,17,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 4 ngày trước
22.000.000 đ,14 triệu,Piaggio,Liberty,2018,21000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
18.500.000 đ,17 triệu,Piaggio,Liberty,2017,12345,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",NaN
5.000.000 đ,6 triệu,Piaggio,Zip,2015,20000,"Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",Đăng 14 ngày trước
38.000.000 đ,36 triệu,Honda,Vario,2024,3000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
21.500.000 đ,17 triệu,Honda,Vision,2017,3333,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 20 ngày trước
59.000.000 đ,56 triệu,Honda,SH,2017,6868,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 4 ngày trước
8.500.000 đ,6 triệu,Yamaha,Sirius,2007,12345,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
12.500.000 đ,13 triệu,Yamaha,Exciter,2013,12345,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
10.500.000 đ,13 triệu,Yamaha,Exciter,2013,39000,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
20.500.000 đ,8 triệu,Honda,Air Blade,2009,59000,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
10.500.000 đ,6 triệu,SYM,Angela,2019,55555,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
27.800.000 đ,28 triệu,Honda,Vision,2023,15000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
35.500.000 đ,31 triệu,Honda,Air Blade,2022,12000,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
44.800.000 đ,36 triệu,Piaggio,Vespa,2018,15000,"Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
56.500.000 đ,56 triệu,Honda,SH,2017,12,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
63.500.000 đ,56 triệu,Yamaha,XSR,2022,8,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
17.500.000 đ,33 triệu,Honda,Lead,2022,12000,"Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Đăng 4 ngày trước
32.000.000 đ,31 triệu,Piaggio,Primavera,2018,20000,"Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng",Đăng 4 ngày trước
8.500.000 đ,6 triệu,Yamaha,Nouvo,2013,12,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 4 ngày trước
