Price,Min_Price,Brand,Model,Year of Manufacture,Kilometer Driven,Địa điểm,Thời gian đăng
8.000.000 đ,10 triệu,Honda,Dòng khác,2009,80000,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
32.500.000 đ,27 triệu,Honda,Lead,2021,8000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
45.500.000 đ,40 triệu,Honda,Vario,2018,21,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",NaN
60.000.000 đ,44 triệu,Piaggio,Vespa,2021,12000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",NaN
27.000.000 đ,25 triệu,Piaggio,GTS,2016,12000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",NaN
36.000.000 đ,32 triệu,Honda,Air Blade,2021,12000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",NaN
31.500.000 đ,26 triệu,Honda,Vision,2022,10,"Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng",Đăng 14 ngày trước
29.000.000 đ,28 triệu,Piaggio,Sprint,2015,12000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",NaN
9.000.000 đ,13 triệu,Honda,Air Blade,2013,100000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 14 ngày trước
58.000.000 đ,57 triệu,Honda,SH,2018,12000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",NaN
9.500.000 đ,7 triệu,Yamaha,Jupiter,2008,35,"Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",Đăng 14 ngày trước
75.000.000 đ,89 triệu,Piaggio,GTS,2023,2000,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",NaN
26.000.000 đ,16 triệu,Yamaha,FZ,2014,12000,"Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",Đăng 14 ngày trước
34.000.000 đ,27 triệu,Honda,SH Mode,2015,18000,"Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",Đăng 14 ngày trước
8.300.000 đ,6 triệu,Yamaha,Sirius,2008,1234,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
19.999.999 đ,5 triệu,Honda,Cub,trước năm 1980,100000,"Phường Bình Hiên, Quận Hải Châu, Đà Nẵng",Đăng 14 ngày trước
2.800.000 đ,6 triệu,Yamaha,Sirius,2005,5000,"Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
31.900.000 đ,25 triệu,Honda,MSX 125,2020,4000,"Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Đăng 14 ngày trước
69.800.000 đ,77 triệu,Honda,SH,2024,1800,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",Đăng 15 ngày trước
11.000 đ,12 triệu,Honda,Air Blade,2010,75000,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
9.000.000 đ,10 triệu,Honda,67,1998,888,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Đăng 14 ngày trước
5.600.000 đ,4 triệu,SYM,Elizabeth,2016,20000,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
15.000.000 đ,14 triệu,Honda,Wave,2022,13000,"Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",Đăng 14 ngày trước
8.200.000 đ,4 triệu,Hãng khác,Dòng khác,2014,46000,"Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",Đăng 14 ngày trước
6.200.000 đ,4 triệu,SYM,Attila,2013,20,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 14 ngày trước
73.000.000 đ,62 triệu,Honda,SH,2019,350000,"Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",Đăng 14 ngày trước
4.800.000 đ,7 triệu,Honda,Cub,1981,0,"Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",Đăng 14 ngày trước
