Price,Year of Manufacture,Kilometer Driven,name,Showroom_Price
19500,2000,1000.0,51,10000000.0
43800,2018,16000.0,39,43000000.0
26500000,2019,25000.0,19,20000000.0
11500000,2013,9999.0,9,13000000.0
22000000,2018,6868.0,9,16000000.0
8300000,2019,123.0,8,9000000.0
17500000,2016,18.0,9,14000000.0
98500000,2021,10000.0,39,106000000.0
8600000,2008,70.0,1,7000000.0
12500000,2007,0.0,62,6000000.0
32000000,2000,25000.0,28,11000000.0
19500000,2022,7000.0,8,12000000.0
5900000,2011,20000.0,12,7000000.0
19500000,2015,12000.0,9,15000000.0
65000000,2018,11000.0,18,57000000.0
27500000,2019,11000.0,9,20000000.0
26000000,2017,14.0,1,20000000.0
54000000,2022,5000.0,13,29000000.0
25000000,2019,15000.0,38,21000000.0
37500000,2024,6000.0,1,37000000.0
32000000,2000,25000.0,28,11000000.0
72000000,2017,11000.0,18,56000000.0
12500000,2013,15000.0,1,13000000.0
58000000,2018,14.0,18,57000000.0
4500000,2012,800000.0,16,5000000.0
28500000,2021,25270.475993804852,10,8000000.0
26000000,2017,20000.0,1,20000000.0
19500000,2014,39000.0,1,15000000.0
35800000,2023,15000.0,27,36000000.0
55000000,2023,14000.0,47,14000000.0
23000000,2022,9000.0,24,19000000.0
7900000,2009,20000.0,27,6000000.0
4200000,2010,20000.0,0,2000000.0
23500000,2021,19000.0,5,18000000.0
39800000,2024,5800.0,27,38000000.0
45500000,2025,900.0,49,41000000.0
46800000,2025,1000.0,9,31000000.0
35000000,2016,20000.0,6,30000000.0
6500000,2012,15000.0,0,3000000.0
10200000,2022,15000.0,8,12000000.0
56500000,2023,13000.0,6,51000000.0
12500000,2023,2000.0,63,22992708.333333332
29000000,2001,57000.0,28,7000000.0
123456789,2001,12822.0,28,7000000.0
69500000,2019,28000.0,18,62000000.0
6200000,2010,44000.0,0,2000000.0
8300000,2003,80000.0,64,13000000.0
10800000,2014,20950.0,32,9000000.0
10800000,2012,51000.0,27,7000000.0
26000000,2016,14.0,1,20000000.0
30500000,2020,8700.0,1,30000000.0
17000000,2017,25600.0,24,12000000.0
26500000,2020,6868.0,19,21000000.0
45500000,2019,10000.0,59,40000000.0
21800000,2016,16000.0,49,15000000.0
13800000,2010,12345.0,1,12000000.0
16500000,2014,17000.0,11,17000000.0
2800000,2013,36498.0,0,4000000.0
45000000,2016,18000.0,18,45000000.0
29500000,2021,16000.0,65,27000000.0
18500000,2012,999.0,23,22992708.333333332
26500000,2019,12345.0,19,20000000.0
46800000,2019,15000.0,11,40000000.0
